time,energy,gps,odo,speed,soc
1511436394000,53.327,52.08975601196289|5.106466770172119,88526.503,25,72.8
1511436395000,53.327,52.08975601196289|5.106466770172119,88526.512,27,72.8
1511436396000,53.327,52.08975601196289|5.106466770172119,88526.52,27,72.8
1511436397000,53.327,52.089881896972656|5.106673240661621,88526.527,28,72.8
1511436398000,53.455,52.089881896972656|5.106673240661621,88526.535,28,72.8
1511436399000,53.455,52.089969635009766|5.106818199157715,88526.543,28,72.8
1511436400000,53.455,52.09002685546875|5.106873512268066,88526.551,28,72.8
1511436401000,53.455,52.09002685546875|5.106873512268066,88526.559,29,72.8
1511436402000,53.455,52.090152740478516|5.106948375701904,88526.567,29,72.8
1511436403000,53.455,52.090152740478516|5.106948375701904,88526.575,30,72.8
1511436404000,53.455,52.090152740478516|5.106948375701904,88526.583,30,72.8
1511436405000,53.455,52.0903205871582|5.1069464683532715,88526.592,31,72.8
1511436406000,53.455,52.09037399291992|5.106916904449463,88526.6,31,72.8
1511436407000,53.455,52.09037399291992|5.106916904449463,88526.609,31,72.8
1511436408000,53.455,52.09048843383789|5.106806755065918,88526.615,32,72.8
1511436409000,53.623,52.09048843383789|5.106806755065918,88526.627,33,72.8
1511436410000,53.623,52.09048843383789|5.106806755065918,88526.636,34,72.8
1511436411000,53.623,52.090702056884766|5.106576442718506,88526.643,34,72.8
1511436412000,53.623,52.090702056884766|5.106576442718506,88526.654,32,72.8
1511436413000,53.623,52.090858459472656|5.1064133644104,88526.663,30,72.8
1511436414000,53.623,52.090858459472656|5.1064133644104,88526.67,28,72.8
1511436415000,53.623,52.09103012084961|5.106245040893555,88526.679,27,72.8
1511436416000,53.623,52.09110641479492|5.106176853179932,88526.686,27,72.8
1511436417000,53.623,52.09110641479492|5.106176853179932,88526.694,27,72.8
1511436418000,53.623,52.09110641479492|5.106176853179932,88526.701,27,72.8
1511436419000,53.623,52.0912971496582|5.106058120727539,88526.708,25,72.8
1511436420000,53.638,52.091365814208984|5.106038570404053,88526.715,24,72.8
1511436421000,53.638,52.091365814208984|5.106038570404053,88526.722,23,72.8
1511436422000,53.638,52.09149932861328|5.106029987335205,88526.726,23,72.8
1511436423000,53.638,52.0915641784668|5.106043338775635,88526.735,23,72.8
1511436424000,53.638,52.0915641784668|5.106043338775635,88526.741,24,72.8
1511436425000,53.638,52.0916748046875|5.1060967445373535,88526.747,25,72.8
1511436426000,53.638,52.091732025146484|5.10613489151001,88526.755,27,72.8
1511436427000,53.638,52.091732025146484|5.10613489151001,88526.763,29,72.8
1511436428000,53.638,52.09182357788086|5.1062397956848145,88526.77,30,72.8
1511436429000,53.638,52.09182357788086|5.1062397956848145,88526.78,32,72.8
1511436430000,53.638,52.091896057128906|5.106420040130615,88526.789,33,72.8
1511436431000,53.652,52.091896057128906|5.106420040130615,88526.798,35,72.8
1511436432000,53.652,52.091896057128906|5.106420040130615,88526.808,36,72.8
1511436433000,53.652,52.09199523925781|5.106761455535889,88526.818,38,72.8
1511436434000,53.652,52.09203338623047|5.106886863708496,88526.829,39,72.8
1511436435000,53.652,52.092071533203125|5.107015132904053,88526.84,40,72.8
1511436436000,53.652,52.092071533203125|5.107015132904053,88526.851,41,72.8
1511436437000,53.652,52.0921516418457|5.107281684875488,88526.862,43,72.8
1511436438000,53.652,52.0921516418457|5.107281684875488,88526.875,46,72.8
1511436439000,53.652,52.09223556518555|5.107560157775879,88526.888,45,72.8
1511436440000,53.652,52.092281341552734|5.107705116271973,88526.9,42,72.8
1511436441000,53.652,52.092281341552734|5.107705116271973,88526.911,38,72.8
1511436442000,53.741,52.092376708984375|5.10800313949585,88526.921,35,72.8
1511436443000,53.741,52.0924186706543|5.108145236968994,88526.931,32,72.8
1511436444000,53.741,52.0924186706543|5.108145236968994,88526.939,28,72.8
1511436445000,53.741,52.092464447021484|5.108431816101074,88526.944,26,72.8
1511436446000,53.741,52.09252166748047|5.1084980964660645,88526.953,25,72.8
1511436447000,53.741,52.09252166748047|5.1084980964660645,88526.96,25,72.8
1511436448000,53.741,52.09259033203125|5.1087164878845215,88526.966,25,72.8
1511436449000,53.741,52.09260177612305|5.108823299407959,88526.974,25,72.8
1511436450000,53.741,52.09260177612305|5.108823299407959,88526.981,24,72.8
1511436451000,53.741,52.09260940551758|5.109020233154297,88526.987,23,72.8
1511436452000,53.768,52.09259033203125|5.109105110168457,88526.994,21,72.8
1511436453000,53.768,52.09259033203125|5.109105110168457,88527,20,72.8
1511436454000,53.768,52.09253692626953|5.109260082244873,88527.005,21,72.8
1511436455000,53.768,52.09253692626953|5.109260082244873,88527.011,22,72.8
1511436456000,53.768,52.09253692626953|5.109260082244873,88527.018,23,72.8
1511436457000,53.768,52.09246063232422|5.109475135803223,88527.023,24,72.8
1511436458000,53.768,52.09246063232422|5.109475135803223,88527.031,25,72.8
1511436459000,53.768,52.09244155883789|5.109653472900391,88527.038,25,72.8
1511436460000,53.768,52.09242630004883|5.109748363494873,88527.044,25,72.8
1511436461000,53.768,52.09242630004883|5.109748363494873,88527.052,25,72.8
1511436462000,53.855,52.09236145019531|5.109903335571289,88527.059,25,68
1511436463000,53.855,52.09236145019531|5.109903335571289,88527.066,24,67.2
1511436464000,53.855,52.09236145019531|5.109903335571289,88527.072,22,67.2
1511436465000,53.855,52.09223937988281|5.110116481781006,88527.079,22,67.2
1511436466000,53.855,52.09221649169922|5.110201835632324,88527.085,22,67.2
1511436467000,53.855,52.09221649169922|5.110201835632324,88527.091,21,67.2
1511436468000,53.855,52.09219741821289|5.1103715896606445,88527.094,19,67.2
1511436469000,53.855,52.09219741821289|5.1103715896606445,88527.101,16,67.2
1511436470000,53.855,52.09219741821289|5.1103715896606445,88527.105,14,67.2
1511436471000,53.855,52.092227935791016|5.110608100891113,88527.108,13,67.2
1511436472000,53.855,52.092227935791016|5.110608100891113,88527.111,8,67.2
1511436473000,53.858,52.092262268066406|5.110713481903076,88527.113,5,67.2
1511436474000,53.858,52.09227752685547|5.110751628875732,88527.114,3,67.2
1511436475000,53.858,52.092288970947266|5.110778331756592,88527.115,1,67.2
1511436476000,53.858,52.09229278564453|5.1107964515686035,88527.115,1,67.2
1511436477000,53.858,52.09229278564453|5.1107964515686035,88527.115,0,67.2
1511436502000,53.858,52.09229278564453|5.1107964515686035,88527.115,1,67.2
1511436503000,53.872,52.0922966003418|5.110828399658203,88527.116,2,67.2
1511436504000,53.872,52.0922966003418|5.110828399658203,88527.116,3,67.2
1511436505000,53.872,52.0922966003418|5.110828399658203,88527.118,8,67.2
1511436506000,53.872,52.0922966003418|5.110828399658203,88527.121,13,67.2
1511436507000,53.872,52.0922966003418|5.110828399658203,88527.125,15,67.2
1511436508000,53.872,52.09231185913086|5.110935211181641,88527.129,14,67.2
1511436509000,53.872,52.09231185913086|5.110935211181641,88527.133,13,67.2
1511436510000,53.872,52.09232711791992|5.110991477966309,88527.137,14,67.2
1511436511000,53.872,52.09232711791992|5.110991477966309,88527.141,16,67.2
1511436512000,53.872,52.09232711791992|5.110991477966309,88527.145,17,67.2
1511436513000,53.959,52.09238052368164|5.111116886138916,88527.15,16,67.2
1511436514000,53.959,52.09238052368164|5.111116886138916,88527.154,15,67.2
1511436515000,53.959,52.092437744140625|5.111191749572754,88527.159,16,67.2
1511436516000,53.959,52.092472076416016|5.111218452453613,88527.163,18,67.2
1511436517000,53.959,52.092472076416016|5.111218452453613,88527.168,19,67.2
1511436518000,53.959,52.09254837036133|5.1112518310546875,88527.174,20,67.2
1511436519000,53.959,52.09260177612305|5.111249923706055,88527.179,20,67.2
1511436520000,53.959,52.09260177612305|5.111249923706055,88527.185,21,67.2
1511436521000,53.959,52.09260177612305|5.111249923706055,88527.191,23,67.2
1511436522000,53.959,52.092735290527344|5.111288547515869,88527.195,25,67.2
1511436523000,54.071,52.092735290527344|5.111288547515869,88527.206,30,67.2
1511436524000,54.071,52.092735290527344|5.111288547515869,88527.215,31,67.2
1511436525000,54.071,52.09282684326172|5.111468315124512,88527.221,30,67.2
1511436526000,54.071,52.09282684326172|5.111468315124512,88527.231,29,67.2
1511436527000,54.071,52.09282684326172|5.111468315124512,88527.239,28,67.2
1511436528000,54.071,52.09282684326172|5.111810207366943,88527.245,27,67.2
1511436529000,54.071,52.09282684326172|5.111810207366943,88527.254,24,67.2
1511436530000,54.071,52.09281539916992|5.112033367156982,88527.26,22,67.2
1511436531000,54.071,52.09281539916992|5.112133502960205,88527.266,19,67.2
1511436532000,54.071,52.09281539916992|5.112133502960205,88527.271,17,67.2
1511436533000,54.071,52.09282302856445|5.112311840057373,88527.275,16,67.2
1511436534000,54.08,52.09282302856445|5.112311840057373,88527.279,13,67.2
1511436535000,54.08,52.092838287353516|5.112444877624512,88527.283,10,67.2
1511436536000,54.08,52.09284973144531|5.112490177154541,88527.285,7,67.2
1511436537000,54.08,52.09284973144531|5.112490177154541,88527.287,5,67.2
1511436538000,54.08,52.09285354614258|5.112573146820068,88527.288,3,67.2
1511436539000,54.08,52.09284591674805|5.1126017570495605,88527.288,1,67.2
1511436540000,54.08,52.09284591674805|5.1126017570495605,88527.288,0,67.2
1511436549000,54.08,52.09284591674805|5.1126017570495605,88527.288,0,67.2
1511436550000,54.085,52.09284591674805|5.1126017570495605,88527.289,2,67.2
1511436551000,54.085,52.09284591674805|5.1126017570495605,88527.29,7,67.2
1511436552000,54.085,52.09284591674805|5.1126017570495605,88527.293,13,67.2
1511436553000,54.085,52.09284591674805|5.1126017570495605,88527.297,20,67.2
1511436554000,54.085,52.092796325683594|5.112733364105225,88527.303,25,67.2
1511436555000,54.085,52.09280014038086|5.112766742706299,88527.311,27,67.2
1511436556000,54.085,52.092811584472656|5.112828254699707,88527.318,27,67.2
1511436557000,54.085,52.09281539916992|5.1129150390625,88527.325,27,67.2
1511436558000,54.085,52.09282684326172|5.113011837005615,88527.333,24,67.2
1511436559000,54.085,52.09282684326172|5.113011837005615,88527.339,23,67.2
1511436560000,54.192,52.09284210205078|5.113203525543213,88527.346,22,67.2
1511436561000,54.192,52.09284210205078|5.113203525543213,88527.351,20,67.2
1511436562000,54.192,52.09284591674805|5.113385200500488,88527.357,18,67.2
1511436563000,54.192,52.09284210205078|5.113464832305908,88527.362,16,67.2
1511436564000,54.192,52.09284210205078|5.113464832305908,88527.366,15,67.2
1511436565000,54.192,52.09284591674805|5.113615036010742,88527.369,14,67.2
1511436566000,54.192,52.09284591674805|5.113615036010742,88527.373,11,67.2
1511436567000,54.192,52.09284591674805|5.113615036010742,88527.376,8,67.2
1511436568000,54.192,52.09285354614258|5.113786697387695,88527.378,6,67.2
1511436569000,54.192,52.09285354614258|5.113786697387695,88527.379,4,67.2
1511436570000,54.195,52.09285354614258|5.113858222961426,88527.38,3,67.2
1511436571000,54.195,52.09285354614258|5.113858222961426,88527.381,3,67.2
1511436572000,54.195,52.09285354614258|5.113881587982178,88527.382,3,67.2
1511436573000,54.195,52.09285354614258|5.113881587982178,88527.383,2,67.2
1511436574000,54.195,52.09285354614258|5.113890171051025,88527.383,0,67.2
1511436581000,54.211,52.09285354614258|5.113890171051025,88527.383,1,67.2
1511436582000,54.211,52.09285354614258|5.113890171051025,88527.384,6,67.2
1511436583000,54.211,52.09285354614258|5.113890171051025,88527.386,11,67.2
1511436584000,54.211,52.09285354614258|5.113890171051025,88527.39,16,67.2
1511436585000,54.211,52.092857360839844|5.113953113555908,88527.393,18,67.2
1511436586000,54.211,52.092857360839844|5.113953113555908,88527.4,20,67.2
1511436587000,54.211,52.092857360839844|5.113953113555908,88527.406,21,67.2
1511436588000,54.211,52.09281539916992|5.114108562469482,88527.411,22,67.2
1511436589000,54.211,52.09281539916992|5.11416482925415,88527.419,24,67.2
1511436590000,54.211,52.09281539916992|5.114230155944824,88527.425,25,67.2
1511436591000,54.211,52.09281539916992|5.114230155944824,88527.432,26,67.2
1511436592000,54.211,52.09283447265625|5.1143999099731445,88527.44,27,67.2
1511436593000,54.352,52.09283447265625|5.1143999099731445,88527.447,28,67.2
1511436594000,54.352,52.092872619628906|5.114614963531494,88527.455,28,67.2
1511436595000,54.352,52.092872619628906|5.114614963531494,88527.463,26,67.2
1511436596000,54.352,52.092872619628906|5.114614963531494,88527.47,25,67.2
1511436597000,54.352,52.092994689941406|5.114903450012207,88527.476,26,67.2
1511436598000,54.352,52.093017578125|5.114996433258057,88527.484,27,67.2
1511436599000,54.352,52.093017578125|5.114996433258057,88527.492,28,67.2
1511436600000,54.352,52.09308624267578|5.1151933670043945,88527.499,28,67.2
1511436601000,54.352,52.093116760253906|5.115291595458984,88527.507,28,67.2
1511436602000,54.352,52.093116760253906|5.115291595458984,88527.516,28,67.2
1511436603000,54.43,52.09318161010742|5.115506649017334,88527.524,28,67.2
1511436604000,54.43,52.09318161010742|5.115506649017334,88527.531,28,67.2
1511436605000,54.43,52.093231201171875|5.1157450675964355,88527.539,28,67.2
1511436606000,54.43,52.093257904052734|5.115861892700195,88527.547,28,66
1511436607000,54.43,52.093257904052734|5.115861892700195,88527.555,29,66
1511436608000,54.43,52.09328842163086|5.116085052490234,88527.561,29,66
1511436609000,54.43,52.09328842163086|5.116085052490234,88527.571,27,66
1511436610000,54.43,52.09328842163086|5.116085052490234,88527.578,26,66
1511436611000,54.43,52.093345642089844|5.116405010223389,88527.584,24,66
1511436612000,54.43,52.093360900878906|5.116501808166504,88527.591,22,66
1511436613000,54.43,52.093360900878906|5.116501808166504,88527.597,20,66
1511436614000,54.463,52.0933837890625|5.116673469543457,88527.602,19,66
1511436615000,54.463,52.0933837890625|5.116673469543457,88527.607,18,66
1511436616000,54.463,52.093406677246094|5.116811752319336,88527.612,17,66
1511436617000,54.463,52.093414306640625|5.116878509521484,88527.617,16,66
1511436618000,54.463,52.09342575073242|5.116958141326904,88527.621,15,66
1511436619000,54.463,52.09342575073242|5.116958141326904,88527.625,14,66
1511436620000,54.463,52.093441009521484|5.117084980010986,88527.629,13,66
1511436621000,54.463,52.093441009521484|5.117084980010986,88527.632,11,66
1511436622000,54.463,52.09345245361328|5.117203235626221,88527.634,9,66
1511436623000,54.463,52.09345245361328|5.117203235626221,88527.637,7,66
1511436624000,54.463,52.09345245361328|5.117203235626221,88527.639,5,66
1511436625000,54.457,52.093467712402344|5.1173481941223145,88527.64,3,66
1511436626000,54.457,52.09347152709961|5.117373466491699,88527.64,0,66
1511436658000,54.457,52.09347152709961|5.117373466491699,88527.64,1,66
1511436659000,54.461,52.09347152709961|5.117373466491699,88527.64,2,66
1511436660000,54.461,52.09348678588867|5.117440223693848,88527.642,5,66
1511436661000,54.461,52.09348678588867|5.117440223693848,88527.644,9,66
1511436662000,54.461,52.09348678588867|5.117440223693848,88527.647,13,66
1511436663000,54.461,52.09348678588867|5.11753511428833,88527.651,17,66
1511436664000,54.461,52.09348678588867|5.11753511428833,88527.656,20,66
1511436665000,54.461,52.09349822998047|5.117585182189941,88527.66,22,66
1511436666000,54.461,52.09349822998047|5.117631435394287,88527.668,24,66
1511436667000,54.461,52.09349822998047|5.117631435394287,88527.675,24,66
1511436668000,54.461,52.093505859375|5.117763519287109,88527.681,25,66
1511436669000,54.552,52.093509674072266|5.117839813232422,88527.689,28,66
1511436670000,54.552,52.093509674072266|5.117839813232422,88527.698,29,66
1511436671000,54.552,52.09352111816406|5.1180315017700195,88527.705,28,66
1511436672000,54.552,52.093536376953125|5.118144989013672,88527.713,23,66
1511436673000,54.552,52.093536376953125|5.118144989013672,88527.718,18,66
1511436674000,54.552,52.09355545043945|5.118386745452881,88527.723,14,66
1511436675000,54.552,52.09355926513672|5.118484973907471,88527.727,15,66
1511436676000,54.552,52.093563079833984|5.118555068969727,88527.731,20,66
1511436677000,54.552,52.093563079833984|5.118555068969727,88527.738,25,66
1511436678000,54.552,52.093563079833984|5.118555068969727,88527.745,30,66
1511436679000,54.552,52.09357452392578|5.118734836578369,88527.752,33,66
1511436680000,54.671,52.09357452392578|5.1188201904296875,88527.764,36,66
1511436681000,54.671,52.09357452392578|5.1188201904296875,88527.774,37,66
1511436682000,54.671,52.09355545043945|5.119053363800049,88527.782,38,66
1511436683000,54.671,52.09354019165039|5.119208335876465,88527.796,38,66
1511436684000,54.671,52.09354019165039|5.119208335876465,88527.806,38,66
1511436685000,54.671,52.09351348876953|5.1194915771484375,88527.815,38,66
1511436686000,54.671,52.09349822998047|5.1196465492248535,88527.827,37,66
1511436687000,54.671,52.09349822998047|5.1196465492248535,88527.838,37,66
1511436688000,54.671,52.09346008300781|5.119949817657471,88527.847,36,66
1511436689000,54.671,52.09346008300781|5.119949817657471,88527.858,35,66
1511436690000,54.671,52.09342575073242|5.120240211486816,88527.867,34,66
1511436691000,54.766,52.09342575073242|5.120240211486816,88527.876,33,66
1511436692000,54.766,52.09342575073242|5.120240211486816,88527.885,31,66
1511436693000,54.766,52.093360900878906|5.120636463165283,88527.894,31,66
1511436694000,54.766,52.093360900878906|5.120636463165283,88527.902,30,66
1511436695000,54.766,52.093299865722656|5.120853424072266,88527.91,27,66
1511436696000,54.766,52.093299865722656|5.120853424072266,88527.917,26,66
1511436697000,54.766,52.09320831298828|5.121048450469971,88527.923,23,66
1511436698000,54.766,52.093170166015625|5.121125221252441,88527.93,20,66
1511436699000,54.766,52.093170166015625|5.121125221252441,88527.935,17,66
1511436700000,54.766,52.09309768676758|5.12125825881958,88527.94,14,66
1511436701000,,52.09309768676758|5.12125825881958,88527.943,10,66
1511436702000,54.739,52.093048095703125|5.121368408203125,88527.945,8,66
1511436703000,54.739,52.09303665161133|5.121408462524414,88527.948,9,66
1511436704000,54.739,52.09303665161133|5.121408462524414,88527.95,11,66
1511436705000,54.739,52.093017578125|5.121471881866455,88527.953,13,66
1511436706000,54.739,52.093017578125|5.121471881866455,88527.958,15,66
1511436707000,54.739,52.093017578125|5.121471881866455,88527.963,17,66
1511436708000,54.739,52.09297180175781|5.121584892272949,88527.966,17,66
1511436709000,54.739,52.09297180175781|5.121584892272949,88527.972,15,66
1511436710000,54.739,52.09292984008789|5.1216864585876465,88527.976,14,66
1511436711000,54.739,52.0929069519043|5.121736526489258,88527.979,15,66
1511436712000,54.817,52.0928840637207|5.12177848815918,88527.984,16,66
1511436713000,54.817,52.0928840637207|5.12177848815918,88527.988,15,66
1511436714000,54.817,52.09283447265625|5.121831893920898,88527.992,13,66
1511436715000,54.817,52.09283447265625|5.121831893920898,88527.996,11,66
1511436716000,54.817,52.092769622802734|5.121846675872803,88527.999,10,66
1511436717000,54.817,52.092769622802734|5.121846675872803,88528.001,10,66
1511436718000,54.817,52.09272003173828|5.121871471405029,88528.004,8,66
1511436719000,54.817,52.09269714355469|5.121880054473877,88528.006,6,66
1511436720000,54.817,52.092674255371094|5.121886730194092,88528.008,4,66
1511436721000,54.817,52.092674255371094|5.121886730194092,88528.008,1,66
1511436722000,54.817,52.092674255371094|5.121886730194092,88528.008,0,66
1511436730000,54.817,52.092674255371094|5.121886730194092,88528.008,1,66
1511436731000,54.843,52.092674255371094|5.121886730194092,88528.009,7,66
1511436732000,54.843,52.092674255371094|5.121886730194092,88528.012,13,66
1511436733000,54.843,52.092674255371094|5.121886730194092,88528.016,16,66
1511436734000,54.843,52.092594146728516|5.1219801902771,88528.02,14,66
1511436735000,54.843,52.092594146728516|5.1219801902771,88528.024,13,66
1511436736000,54.843,52.09255599975586|5.122016429901123,88528.028,15,66
1511436737000,54.843,52.09255599975586|5.122016429901123,88528.032,18,66
1511436738000,54.843,52.09248733520508|5.122066497802734,88528.038,20,66
1511436739000,54.843,52.09248733520508|5.122066497802734,88528.043,18,66
1511436740000,54.843,52.0923957824707|5.122133255004883,88528.048,16,66
1511436741000,54.927,52.0923957824707|5.122133255004883,88528.052,14,66
1511436742000,54.927,52.092308044433594|5.122176647186279,88528.055,12,66
1511436743000,54.927,52.09226989746094|5.122191429138184,88528.058,10,66
1511436744000,54.927,52.09226989746094|5.122191429138184,88528.061,11,66
1511436745000,54.927,52.09221267700195|5.122220039367676,88528.063,12,66
1511436746000,54.927,52.09218978881836|5.122230052947998,88528.068,15,66
1511436747000,54.927,52.09218978881836|5.122230052947998,88528.072,15,66
1511436748000,54.927,52.09214782714844|5.122263431549072,88528.076,15,66
1511436749000,54.927,52.09214782714844|5.122263431549072,88528.081,19,66
1511436750000,54.927,52.09210968017578|5.122280120849609,88528.087,23,66
1511436751000,54.927,52.09209060668945|5.122286796569824,88528.093,26,66
1511436752000,55.03,52.09209060668945|5.122286796569824,88528.101,28,66
1511436753000,55.03,52.09202575683594|5.122318267822266,88528.109,28,66
1511436754000,55.03,52.09197235107422|5.122330188751221,88528.117,26,66
1511436755000,55.03,52.09197235107422|5.122330188751221,88528.123,23,66
1511436756000,55.03,52.09197235107422|5.122330188751221,88528.129,20,66
1511436757000,55.03,52.091773986816406|5.122323513031006,88528.134,18,66
1511436758000,55.03,52.09172058105469|5.122323513031006,88528.139,14,66
1511436759000,55.03,52.09172058105469|5.122323513031006,88528.143,10,66
1511436760000,55.03,52.09162521362305|5.122321605682373,88528.145,9,66
1511436761000,55.03,52.09157943725586|5.122321605682373,88528.147,7,66
1511436762000,55.03,52.091548919677734|5.122323513031006,88528.149,6,66
1511436763000,55.05,52.091522216796875|5.122326850891113,88528.151,5,66
1511436764000,55.05,52.091522216796875|5.122326850891113,88528.152,5,66
1511436765000,55.05,52.09148025512695|5.122326850891113,88528.154,6,66
1511436766000,55.05,52.09146499633789|5.122326850891113,88528.156,8,66
1511436767000,55.05,52.09146499633789|5.122326850891113,88528.158,8,66
1511436768000,55.05,52.0914306640625|5.122326850891113,88528.16,8,66
1511436769000,55.05,52.0914306640625|5.122326850891113,88528.162,8,66
1511436770000,55.05,52.0914306640625|5.122326850891113,88528.165,9,66
1511436771000,55.05,52.09136199951172|5.122323513031006,88528.167,10,66
1511436772000,55.05,52.09136199951172|5.122323513031006,88528.17,12,66
1511436773000,55.05,52.09132766723633|5.122331619262695,88528.174,16,66
1511436774000,55.109,52.09130859375|5.122318267822266,88528.179,19,66
1511436775000,55.109,52.09130859375|5.122318267822266,88528.185,19,66
1511436776000,55.109,52.09128189086914|5.122246742248535,88528.19,18,66
1511436777000,55.109,52.09126663208008|5.122183322906494,88528.194,17,66
1511436778000,55.109,52.09126663208008|5.122183322906494,88528.199,16,66
1511436779000,55.109,52.09124755859375|5.122049808502197,88528.203,16,66
1511436780000,55.109,52.09124755859375|5.122049808502197,88528.208,16,66
1511436781000,55.109,52.09124755859375|5.122049808502197,88528.212,15,66
1511436782000,55.109,52.091224670410156|5.12186336517334,88528.215,14,66
1511436783000,55.109,52.091224670410156|5.12186336517334,88528.22,12,66
1511436784000,55.109,52.091224670410156|5.12186336517334,88528.223,11,66
1511436785000,55.159,52.091182708740234|5.121715068817139,88528.225,11,66
1511436786000,55.159,52.091182708740234|5.121715068817139,88528.229,10,66
1511436787000,55.159,52.09114456176758|5.121638298034668,88528.232,9,66
1511436788000,55.159,52.09114456176758|5.121638298034668,88528.234,9,66
1511436789000,55.159,52.09109115600586|5.121578216552734,88528.237,8,66
1511436790000,55.159,52.09109115600586|5.121578216552734,88528.239,7,66
1511436791000,55.159,52.09104919433594|5.121521472930908,88528.241,7,66
1511436792000,55.159,52.09104919433594|5.121521472930908,88528.242,7,66
1511436793000,55.159,52.09100341796875|5.121523380279541,88528.244,7,66
1511436794000,55.159,52.09097671508789|5.121534824371338,88528.247,11,66
1511436795000,55.191,52.09097671508789|5.121534824371338,88528.25,15,66
1511436796000,55.191,52.0909309387207|5.121560096740723,88528.255,19,66
1511436797000,55.191,52.0909309387207|5.121560096740723,88528.261,22,66
1511436798000,55.191,52.090877532958984|5.121588230133057,88528.267,23,66
1511436799000,55.191,52.09083938598633|5.121614933013916,88528.274,24,66
1511436800000,55.191,52.09083938598633|5.121614933013916,88528.281,26,66
1511436801000,55.191,52.09083938598633|5.121614933013916,88528.288,27,66
1511436802000,55.191,52.090702056884766|5.121699810028076,88528.293,27,66
1511436803000,55.191,52.09064865112305|5.121725082397461,88528.302,24,66
1511436804000,55.191,52.09064865112305|5.121725082397461,88528.309,22,66
1511436805000,55.236,52.09054946899414|5.1217851638793945,88528.313,20,66
1511436806000,55.236,52.09049987792969|5.121826648712158,88528.319,18,66
1511436807000,55.236,52.09049987792969|5.121826648712158,88528.324,17,66
1511436808000,55.236,52.090396881103516|5.1218647956848145,88528.329,18,66
1511436809000,55.236,52.09033203125|5.121891498565674,88528.334,16,66
1511436810000,55.236,52.090274810791016|5.121918201446533,88528.338,13,66
1511436811000,55.236,52.090274810791016|5.121918201446533,88528.341,11,66
1511436812000,55.236,52.09018325805664|5.121960163116455,88528.344,8,66
1511436813000,55.236,52.09014892578125|5.1219801902771,88528.346,5,66
1511436814000,55.236,52.09014892578125|5.1219801902771,88528.347,1,66
1511436815000,55.236,52.09014892578125|5.1219801902771,88528.347,0,66
1511436835000,55.236,52.09014892578125|5.1219801902771,88528.347,2,66
1511436836000,55.244,52.09014892578125|5.1219801902771,88528.348,8,66
1511436837000,55.244,52.09014892578125|5.1219801902771,88528.352,15,66
